Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Portugal Wine Trophy 2022,Grande Cuvée,2019,Weingut Keringer,Austria,Burgenland,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,"Cabernet Sauvignon, Zweigelt, Ráthay","14,5","4,2","4,5",123,"13,9",No,Silver
Portugal Wine Trophy 2022,Vinho Tinto Bairrada Primavera Reserva,2018,Caves Primavera SA,Portugal,Bairrada,Vino tranquilo,Seco,tanque de acero,tinto,"Tinta Roriz, Baga, Tourica National","13,5","6,1","3,1",94,5,No,Gold
Portugal Wine Trophy 2022,Cariñena DO Gran Reserva,2017,Paniza,España,Cariñena,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Garnacha, Cabernet, Tempranillo","13,5",5,"0,5",0,"2,79",No,Silver
Portugal Wine Trophy 2022,"Quinta da Côrte, Porto LBV",2016,"Pacheco & Irmãos, Lda",Portugal,Douro,Vino de Oporto,dulce,No especificado,tinto,"Tinta Caiada, Tinto Cao, Tinta Barroca, Touriga Franca, Tourica National","28,5","5,4",89,5,"28,5",No,Gold
Portugal Wine Trophy 2022,Princesa,2019,"Pacheco & Irmãos, Lda",Portugal,Douro,Vino tranquilo,Seco,tanque de acero,tinto,"Touriga Franca, Tinta Cao, Tourica National, Tinta Barroca, Tinta Roriz","14,9","5,4","0,6",0,"25,2",No,Gold
Portugal Wine Trophy 2022,Kebir Puglia IGT Rosso,2019,Cantine Torrevento S.r.l.,Italia,Puglia,Vino tranquilo,Seco,tanque de acero,tinto,"Nero di Troia, Cabernet Sauvignon","13,5","5,9","3,9",90,14,No,Gold
Portugal Wine Trophy 2022,Casa Safra Oro Gran Reserva DO Catalunya,2015,Unió Origen,España,Cataluña,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Mazuela, Cabernet Sauvignon, Merlot, Tempranillo, Garnacha Tinta",13,"3,85","1,88",136,"6,49",No,Gold
Portugal Wine Trophy 2022,Michel Maury Grenache Extrème,2021,L´Union des Vignerons,Francia,,Vino tranquilo,Semi seco,No especificado,tinto,Grenache,"14,5","5,3","7,4",84,"9,95",No,Gold
Portugal Wine Trophy 2022,Michel Maury Syrah Extrème,2021,L´Union des Vignerons,Francia,,Vino tranquilo,Seco,No especificado,tinto,Syrah,14,"5,5","6,3",99,"9,95",No,Silver
Portugal Wine Trophy 2022,Rodriguez & Berger Tempranillo,2021,Agricola Casa de la Vina,España,,Vino tranquilo,Semi seco,tanque de acero,tinto,Tempranillo,"12,5","4,7","14,5",118,"5,95",No,Gold
Portugal Wine Trophy 2022,Michel Maury Merlot Réserve,2020,L´Union des Vignerons,Francia,Languedoc-Roussillon,Vino tranquilo,Semi seco,tanque de acero,tinto,Merlot,"13,5","4,6","13,4",117,"8,95",No,Gold
Portugal Wine Trophy 2022,Gilles Mondié Pinot Noir Réserve,2021,L´Union des Vignerons,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,tanque de acero,tinto,Pinot Noir,13,"4,9","7,7",85,"8,95",No,Gold
Portugal Wine Trophy 2022,Gilles Mondié Syrah Réserve,2021,L´Union des Vignerons,Francia,Languedoc-Roussillon,Vino tranquilo,Semi seco,tanque de acero,tinto,"Syrah, Merlot",13,"4,7","9,5",77,"9,95",No,Silver
Portugal Wine Trophy 2022,Rothschild Cabernet Sauvignon Vieilles Vignes,2020,Baron Philippe de Rothschild,Francia,Languedoc-Roussillon,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Cabernet Sauvignon,"13,5","4,8","4,6",90,"14,45",No,Gold
