Volumendealcohol,Acidez,Azúcarresidual,Azufre,Medalla
0.13,0.00,5.00,0.00,Gold
14.00,5.20,1.00,110.00,Gold
13.50,5.40,1.40,105.00,Gold
13.82,0.65,1.50,75.00,Gold
14.50,3.41,1.80,55.00,Gold
13.50,4.90,1.20,72.00,Gold
14.00,4.90,2.58,95.00,Gold
13.50,5.20,2.80,35.00,Gold
13.50,5.00,1.80,78.00,Gold
13.50,5.00,1.80,65.00,Grand Gold
14.50,5.40,2.10,28.00,Gold
13.82,0.20,1.50,75.00,Gold
14.00,5.10,2.00,47.00,Gold
13.50,4.80,1.70,67.00,Gold
13.50,5.70,2.80,34.00,Gold
14.00,5.70,2.50,36.00,Gold
14.50,4.00,1.80,60.00,Gold
15.00,5.60,2.50,34.00,Gold
13.23,5.72,0.90,72.00,Gold
14.50,5.40,1.20,80.00,Gold
13.00,5.43,0.60,80.00,Gold
14.50,5.22,0.70,91.00,Gold
14.50,5.80,0.90,80.00,Gold
0.12,0.00,2.00,0.00,Gold
0.14,4.98,5.00,1.00,Gold
0.14,5.75,2.90,0.00,Gold
0.14,6.30,2.00,0.00,Gold
0.14,5.81,2.00,0.00,Gold
14.50,5.20,2.30,63.00,Gold
11.50,0.65,5.00,0.00,Gold
14.00,4.60,0.40,156.00,Gold
14.00,0.00,2.00,0.00,Grand Gold
0.14,0.00,5.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
15.00,0.39,0.80,89.00,Gold
14.50,5.30,1.00,63.00,Gold
14.10,5.80,3.50,118.00,Gold
12.50,5.00,3.60,80.00,Gold
13.00,5.80,4.10,0.00,Gold
13.50,0.00,2.00,0.00,Gold
13.00,5.20,1.00,84.00,Gold
13.91,5.90,1.10,81.00,Gold
13.00,4.90,0.60,35.00,Gold
13.50,5.30,0.60,36.00,Gold
14.20,3.21,3.64,0.00,Gold
14.15,5.60,3.70,116.00,Gold
13.97,5.90,3.70,102.00,Gold
13.50,4.90,0.60,0.00,Gold
14.50,0.00,3.90,142.00,Gold
14.00,4.95,3.19,93.00,Gold
0.12,0.00,17.00,0.00,Gold
15.00,5.50,4.50,0.00,Gold
12.80,5.50,6.00,73.00,Gold
13.50,0.00,2.00,0.00,Gold
15.00,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
12.50,0.00,2.00,0.00,Gold
12.50,0.00,2.00,0.00,Gold
14.50,6.45,2.70,120.00,Gold
14.50,6.37,3.50,130.00,Gold
13.00,4.90,1.20,82.00,Gold
14.51,5.45,0.60,45.00,Gold
14.42,5.30,0.60,37.00,Gold
13.50,5.00,1.00,80.00,Gold
0.13,0.00,2.00,0.00,Gold
0.13,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
14.00,5.50,3.20,119.00,Gold
13.60,3.22,1.95,29.00,Gold
13.50,3.22,1.95,29.00,Gold
13.70,3.15,1.90,55.00,Gold
14.50,5.25,0.58,0.00,Gold
15.00,5.50,2.10,0.00,Gold
14.50,5.20,2.90,0.00,Gold
14.50,5.50,2.17,0.00,Gold
13.50,5.50,4.50,1.00,Gold
13.50,5.75,4.20,1.00,Gold
13.50,5.40,6.70,1.00,Gold
13.00,3.78,1.10,0.00,Gold
14.00,2.87,0.40,0.00,Gold
0.12,0.00,2.00,0.00,Grand Gold
0.12,0.00,2.00,0.00,Gold
14.00,5.70,5.00,106.00,Gold
13.50,3.60,3.00,32.00,Gold
13.50,3.60,3.00,32.00,Gold
13.50,3.60,3.00,30.00,Gold
13.50,3.50,3.00,32.00,Gold
6.20,5.30,1.30,94.00,Gold
15.00,5.80,2.20,73.00,Gold
15.01,5.50,7.00,130.00,Gold
12.90,5.50,6.20,34.00,Gold
13.50,5.20,4.50,80.00,Gold
13.50,5.40,5.00,80.00,Gold
14.00,5.90,13.86,44.00,Gold
15.00,5.70,3.60,100.00,Gold
14.30,5.50,0.88,77.00,Gold
14.72,5.03,2.50,88.00,Gold
13.00,5.50,1.30,130.00,Gold
14.00,4.00,2.00,100.00,Gold
13.00,4.40,3.30,90.00,Gold
14.00,1.00,1.00,1.00,Gold
13.00,4.80,1.50,86.00,Gold
13.00,4.80,2.40,95.00,Gold
14.00,4.50,2.10,70.00,Gold
13.00,4.57,1.65,107.00,Gold
13.50,0.00,2.00,0.00,Gold
15.00,0.00,2.00,0.00,Gold
14.00,5.30,2.00,100.00,Gold
12.90,5.90,8.00,146.00,Gold
14.50,6.10,1.50,75.00,Gold
14.60,5.20,3.50,120.00,Gold
13.00,4.30,3.70,97.00,Gold
14.50,4.70,3.80,110.00,Gold
14.00,4.60,4.00,109.00,Gold
14.50,4.80,2.80,94.00,Gold
15.50,5.30,4.20,77.00,Gold
13.90,4.70,3.80,97.00,Gold
14.50,4.70,3.40,76.00,Gold
14.50,4.30,3.30,95.00,Gold
13.50,4.10,3.70,104.00,Gold
14.00,4.70,3.90,97.00,Gold
14.00,5.20,3.30,0.00,Gold
13.50,5.10,3.50,0.00,Gold
14.10,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.00,0.00,6.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.00,5.50,3.20,138.00,Gold
14.50,5.90,3.10,153.00,Gold
13.50,4.80,1.00,40.00,Gold
13.50,5.50,5.00,140.00,Gold
14.00,5.60,6.20,98.00,Gold
13.50,5.90,6.00,105.00,Gold
13.50,5.90,6.00,105.00,Gold
15.00,5.60,5.50,103.00,Gold
15.50,5.80,8.00,90.00,Gold
13.50,4.80,0.42,94.00,Gold
14.00,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
0.14,4.90,0.74,0.00,Gold
0.14,0.00,2.00,0.00,Grand Gold
14.90,5.40,0.60,0.00,Gold
13.00,5.30,2.70,68.00,Gold
13.50,4.60,4.20,82.00,Gold
13.50,4.10,1.80,51.00,Gold
13.50,4.50,3.70,82.00,Gold
15.00,6.20,9.20,90.00,Gold
14.00,5.30,7.00,85.00,Gold
15.00,6.00,5.00,80.00,Gold
13.00,5.52,7.00,24.00,Gold
15.00,5.90,0.90,31.00,Gold
14.50,5.70,3.24,56.00,Gold
14.50,5.70,0.52,59.00,Gold
15.50,5.18,2.83,80.00,Gold
14.50,7.06,2.37,37.00,Gold
13.12,3.08,1.00,0.00,Gold
13.50,5.75,3.09,0.00,Gold
14.00,5.80,3.00,75.00,Gold
14.20,5.18,2.44,100.00,Gold
14.50,6.00,1.10,52.00,Gold
14.50,5.51,1.50,101.00,Gold
14.50,6.15,3.80,36.00,Gold
13.50,5.46,2.66,0.00,Gold
14.00,5.20,1.20,109.00,Gold
13.62,5.20,1.90,111.00,Gold
15.00,6.47,7.30,0.00,Gold
13.50,5.80,5.00,88.00,Gold
14.00,3.15,3.10,108.00,Gold
13.00,4.50,3.00,98.00,Gold
12.98,5.00,0.20,102.00,Gold
13.50,5.50,1.80,0.00,Gold
13.00,5.90,4.50,0.00,Gold
13.00,5.20,4.30,115.00,Gold
13.50,0.45,1.40,0.00,Gold
14.00,5.90,7.90,0.00,Gold
14.00,5.10,1.40,92.00,Gold
14.00,4.00,2.00,0.00,Gold
14.00,5.20,1.40,84.00,Gold
14.50,5.10,1.20,120.00,Gold
13.50,5.10,1.50,120.00,Gold
13.50,5.30,1.50,100.00,Gold
13.50,5.10,1.50,95.00,Gold
13.50,5.00,1.50,100.00,Gold
13.00,5.20,1.40,110.00,Gold
12.50,5.20,1.50,110.00,Gold
13.00,3.79,1.85,137.00,Gold
14.00,3.80,2.80,34.00,Gold
14.10,5.38,1.80,92.00,Gold
14.20,4.94,1.15,106.00,Gold
0.13,0.00,2.00,0.00,Grand Gold
0.14,0.00,2.00,0.00,Gold
0.14,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
15.00,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
15.00,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.00,5.15,3.40,110.00,Gold
13.50,5.27,6.18,109.00,Gold
14.60,5.07,0.60,76.00,Gold
15.00,5.14,0.60,55.00,Gold
15.00,5.30,4.10,82.00,Gold
14.00,5.11,0.52,0.00,Gold
14.00,5.30,3.63,120.00,Gold
13.00,5.20,4.00,56.00,Gold
14.60,5.59,2.38,102.00,Gold
13.80,3.36,2.68,0.00,Gold
14.50,5.60,2.20,17.00,Gold
13.51,5.20,1.60,159.00,Gold
13.50,5.01,2.15,0.00,Gold
14.84,5.00,0.30,199.00,Gold
15.05,5.30,0.50,100.00,Gold
14.50,5.29,1.20,77.00,Gold
14.50,5.40,0.00,50.00,Gold
14.50,5.40,0.00,50.00,Gold
14.00,6.00,0.40,91.00,Gold
15.00,5.60,0.80,126.00,Gold
14.00,5.20,0.30,0.00,Gold
14.56,5.60,1.90,78.00,Grand Gold
14.47,5.30,2.50,136.00,Gold
14.14,5.00,2.40,53.00,Gold
14.90,0.00,2.00,0.00,Gold
15.50,0.00,2.00,0.00,Gold
15.00,0.00,2.00,0.00,Gold
14.00,0.00,2.00,0.00,Gold
13.50,0.00,2.00,0.00,Gold
14.50,5.36,0.60,93.00,Gold
13.00,6.40,2.00,145.00,Gold
14.50,6.27,0.25,61.00,Gold
14.50,6.43,0.59,66.00,Gold
14.50,6.79,1.13,111.00,Gold
14.50,6.92,1.43,98.00,Gold
13.69,5.60,0.70,55.00,Gold
15.00,0.00,2.00,0.00,Gold
15.50,0.00,2.00,0.00,Gold
14.50,0.00,2.00,0.00,Gold
14.50,5.38,0.20,37.00,Gold
14.00,3.00,2.00,1.00,Gold
14.00,3.00,2.00,1.00,Gold
13.00,5.50,3.50,1.00,Gold
14.50,5.22,1.40,86.00,Gold
13.00,5.00,3.00,104.00,Gold
15.00,8.00,5.00,0.00,Gold
16.00,0.00,2.00,0.00,Gold
13.50,4.90,4.10,110.00,Gold
13.50,0.00,2.00,0.00,Gold
0.14,0.00,5.00,0.00,Gold
14.50,3.21,992.00,0.00,Grand Gold
0.13,0.00,5.00,0.00,Gold
0.14,0.00,5.00,0.00,Gold
15.50,6.33,3.00,0.00,Gold
14.00,5.20,3.20,125.00,Gold
14.57,5.02,1.70,80.00,Gold
13.40,4.00,3.50,120.00,Gold
13.80,3.41,0.10,57.00,Gold
13.88,5.64,5.50,180.00,Gold
14.30,5.20,6.00,90.00,Gold
14.00,5.00,5.00,100.00,Gold
14.00,5.50,7.00,95.00,Gold
15.10,5.20,0.49,66.00,Gold
15.50,6.30,3.10,70.00,Gold
15.50,5.30,0.50,68.00,Gold
14.00,6.20,1.50,90.00,Gold
14.00,6.00,3.00,70.00,Gold
13.35,3.35,1.02,108.00,Gold
14.50,5.96,1.70,48.00,Gold
13.50,5.82,1.50,98.00,Gold
14.50,6.15,3.30,72.00,Gold
13.50,5.40,1.60,83.00,Gold
14.00,6.12,1.40,56.00,Grand Gold
13.50,4.80,3.50,0.00,Grand Gold
13.00,5.14,1.90,145.00,Gold
13.50,4.97,0.00,136.00,Gold
14.50,5.30,1.53,59.00,Gold
13.50,6.74,1.30,65.00,Gold
