Trophy,Nombre,Añada,Productor,Paísdecultivo,Regióndecultivo,Categoría,Gusto,Vinificación,Tipodevino,Tipodeuva,Volumendealcohol,Acidez,Azúcarresidual,Azufre,Precioindicativo,Bio,Medalla
Berlin -Edición de verano- 2022,Tasheli Patkara - Cabernet Sauvignon - Shiraz,2021,Tasheli Wines,Turquía,Mediterranean,Vino tranquilo,Seco,tanque de acero,tinto,"Cabernet Sauvignon, Patkara, Shiraz",14,"0,4","2,6",36,"6,8",No,Gold
Berlin -Edición de verano- 2022,"Toscana Rosso IGT ""Selvato"" Giordano",sin añada,Giordano Vini,Italia,Toscana,Vino tranquilo,Seco,No especificado,tinto,"Cabernet, Sangiovese, Merlot","12,5","5,8",9,145,"5,94",No,Gold
Berlin -Edición de verano- 2022,Poggio Lauro Sir Passo Toscana Rosso,2020,Poggio Lauro,Italia,Toscana,Vino tranquilo,Semi seco,tanque de acero,tinto,"Sangiovese, Merlot","13,94","5,45","12,25",128,"11,9",No,Gold
Berlin -Edición de verano- 2022,gorgoli,2019,Terre del Bruno Società Agricola s.s,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Sangiovese, Cabernet Sauvignon","13,5",5,"0,9",98,19,No,Gold
Berlin -Edición de verano- 2022,Turitto,2016,Cantina Sociale Luca Gentile Soc. Coop.va Agricola,Italia,Puglia,Vino tranquilo,Seco,maduración en barrica - parcialmente,tinto,Primitivo,"14,3","5,3",5,102,11,No,Gold
Berlin -Edición de verano- 2022,brunello di montalcino,2017,Cantina di Montalcino SRL,Italia,Toscana,Vino tranquilo,afrutado,maduración en barrica de madera,tinto,Sangiovese,"13,82","6,1","0,5",105,"23,9",No,Gold
Berlin -Edición de verano- 2022,MADONNA NERA,2016,Soc. Agr. La Madonna SRL,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Sangiovese,"14,5","5,7",0,100,60,No,Gold
Berlin -Edición de verano- 2022,MADONNA NERA,2017,Soc. Agr. La Madonna SRL,Italia,Toscana,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Sangiovese,"14,5","5,7",0,73,40,No,Gold
Berlin -Edición de verano- 2022,Sciamagna,2007,Podere Riparbella Società Agricola,Italia,Toskana Maremma,Vino tranquilo,Seco,maduración en barrica de madera,tinto,"Cabernet Franc, Sangiovese, Merlot",14,"5,6","2,4",54,17,Sí,Gold
Berlin -Edición de verano- 2022,Kraté red semi dry,2018,Sudo-san Winery,South Korea,Gimcheon,Vino tranquilo,Semi seco,maduración en barrica - parcialmente,tinto,Wild Grape,"11,5","5,5",17,0,45,No,Gold
Berlin -Edición de verano- 2022,Tempranillo trocken -Edesheimer Rosengarten-,2020,Weingut Werner Anselmann,Alemania,Pfalz,Vino tranquilo,Seco,tanque de acero,tinto,Tempranillo,"13,47","4,6",1,116,"7,9",No,Gold
Berlin -Edición de verano- 2022,Vino de la Tierra de Castilla - Syrah,2021,Reserva de la Tierra - World Wide Wines,España,Kastilien-La Mancha,Vino tranquilo,Seco,tanque de acero,tinto,Syrah,"13,5","5,2",12,140,"1,85",No,Gold
Berlin -Edición de verano- 2022,Sierra Batuco Lone Rider,2019,Invina Wines,Chile,Vale del Maule,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Carmenère, Cabernet Sauvignon, Syrah","13,9","4,9","2,86",94,19,No,Gold
Berlin -Edición de verano- 2022,Secano,2019,Invina Wines,Chile,Vale del Maule,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Tempranillo,"14,3","5,77","1,58",56,35,No,Gold
Berlin -Edición de verano- 2022,Cuartel 4A,2020,Invina Wines,Chile,Vale del Maule,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,Carmenère,"13,9","5,28","3,5",46,35,No,Gold
Berlin -Edición de verano- 2022,Ojos Verdes,2019,Invina Wines,Chile,Vale del Maule,Vino tranquilo,Seco,maduración en barrica - 100%,tinto,"Cabernet Sauvignon, Tempranillo, Carmenère, Cabernet Franc, Syrah","14,1","6,04","2,4",62,35,No,Gold
Berlin -Edición de verano- 2022,Spätburgunder,2017,Weingut Zelt,Alemania,Pfalz,Vino tranquilo,Seco,maduración en barrica de madera,tinto,Spätburgunder,"13,5","6,2","0,3",55,"6,7",No,Gold
Berlin -Edición de verano- 2022,POINT DE VUE ROUGE,2019,SAS Jeff Carrel,Francia,France,Vino tranquilo,Seco,No especificado,tinto,"Carignan, Grenache, Cinsault, Syrah","13,49","71,82","1,23",42,13,Sí,Gold
